"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"10.01.2018","18,6380","18,7660","18,8560","18,6260","-1,59%"
"09.01.2018","18,9400","19,0200","19,1250","18,9100","-0,53%"
"08.01.2018","19,0400","18,8700","19,1400","18,8700","0,85%"
"05.01.2018","18,8800","18,5500","19,0500","18,5500","1,40%"
"04.01.2018","18,6200","18,4600","18,6600","18,4100","0,92%"
"03.01.2018","18,4500","18,3870","18,4850","18,3100","0,29%"
"02.01.2018","18,3960","18,6190","18,6290","18,3690","-1,17%"
"01.01.2018","18,6145","18,6145","18,6145","18,6145","0,00%"
"29.12.2017","18,6145","19,0205","19,0205","18,5305","-2,95%"
"28.12.2017","19,1800","18,4500","19,1800","18,4500","4,03%"
"27.12.2017","18,4375","18,3175","18,5275","18,3175","0,60%"
"26.12.2017","18,3270","18,0810","18,3485","18,0360","1,56%"
"25.12.2017","18,0450","18,0450","18,0450","18,0450","0,00%"
"22.12.2017","18,0450","17,9350","18,0750","17,9350","0,62%"
"21.12.2017","17,9335","17,7505","17,9915","17,7505","1,12%"
"20.12.2017","17,7350","17,8050","17,8850","17,6550","0,65%"
"19.12.2017","17,6200","17,4900","17,6600","17,4900","0,33%"
"18.12.2017","17,5625","17,5240","17,6065","17,4765","0,31%"
"15.12.2017","17,5075","17,4885","17,6385","17,4485","0,44%"
"14.12.2017","17,4305","17,2965","17,4565","17,2865","0,75%"
"13.12.2017","17,3010","17,3500","17,3830","17,2930","-0,26%"
"12.12.2017","17,3455","17,2585","17,4085","17,2285","0,64%"
"11.12.2017","17,2350","17,2800","17,3050","17,2350","-0,20%"
"08.12.2017","17,2700","17,2700","17,2700","17,2700","-0,02%"
"07.12.2017","17,2735","17,2485","17,3755","17,2155","0,15%"
"06.12.2017","17,2475","17,2945","17,3405","17,2245","-0,23%"
"05.12.2017","17,2875","17,3305","17,4075","17,2875","-0,31%"
"04.12.2017","17,3405","17,2075","17,3675","17,1975","0,71%"
"01.12.2017","17,2190","17,2760","17,3260","17,2160","-0,50%"
"30.11.2017","17,3050","17,3640","17,4350","17,2850","-0,67%"
"29.11.2017","17,4215","17,3595","17,4645","17,3145","0,30%"
"28.11.2017","17,3695","17,3195","17,3905","17,3045","0,33%"
"27.11.2017","17,3130","17,3680","17,3680","17,2880","-0,20%"
"24.11.2017","17,3485","17,3955","17,4155","17,3485","-0,27%"
"23.11.2017","17,3950","17,4250","17,4550","17,3950","-0,17%"
"22.11.2017","17,4245","17,4715","17,5175","17,4245","-0,35%"
"21.11.2017","17,4850","17,4490","17,5200","17,4480","0,11%"
"20.11.2017","17,4650","17,4650","17,4650","17,4650","-0,06%"
"17.11.2017","17,4755","17,4735","17,5405","17,4695","-0,01%"
"16.11.2017","17,4775","17,5145","17,5395","17,4775","-0,23%"
"15.11.2017","17,5170","17,4975","17,5750","17,4975","0,20%"
"14.11.2017","17,4825","17,5025","17,5465","17,4415","-0,07%"
"13.11.2017","17,4950","17,4850","17,5650","17,4850","0,03%"
"10.11.2017","17,4900","17,5125","17,5600","17,4600","-0,08%"
"09.11.2017","17,5045","17,5275","17,5975","17,5045","-0,09%"
"08.11.2017","17,5200","17,6400","17,6400","17,5050","-0,74%"
"07.11.2017","17,6505","17,6555","17,7155","17,6475","0,07%"
"06.11.2017","17,6390","17,6470","17,6470","17,6390","0,02%"
"03.11.2017","17,6350","17,4650","17,6550","17,4650","0,66%"
"02.11.2017","17,5200","17,6070","17,6300","17,4700","-0,51%"
"01.11.2017","17,6100","17,6400","17,6900","17,6000","-0,14%"
"31.10.2017","17,6350","17,6150","17,6960","17,6050","-0,34%"
"30.10.2017","17,6950","17,5710","17,7650","17,5710","0,52%"
"27.10.2017","17,6035","17,7195","17,7695","17,6035","-0,29%"
"26.10.2017","17,6550","17,4850","17,6750","17,4450","0,97%"
"25.10.2017","17,4855","17,3865","17,5165","17,3665","-0,10%"
"24.10.2017","17,5025","17,4175","17,5575","17,4175","0,52%"
"23.10.2017","17,4125","17,4085","17,4175","17,2025","-0,01%"
"20.10.2017","17,4150","17,4150","17,5060","17,4050","-0,17%"
"19.10.2017","17,4450","17,3350","17,4750","17,3350","0,62%"
"18.10.2017","17,3375","17,3375","17,3525","17,2575","0,01%"
"17.10.2017","17,3350","17,3250","17,4100","17,3250","0,06%"
"16.10.2017","17,3250","17,3250","17,3250","17,3150","-0,08%"
"13.10.2017","17,3388","17,4058","17,4058","17,3388","-0,43%"
"12.10.2017","17,4145","17,4175","17,4675","17,4075","0,02%"
"11.10.2017","17,4115","17,4135","17,4485","17,4115","-0,10%"
"10.10.2017","17,4290","17,4450","17,4920","17,4270","-0,15%"
"09.10.2017","17,4550","17,4350","17,5050","17,4350","0,11%"
"06.10.2017","17,4360","17,4080","17,5630","17,3910","0,24%"
"05.10.2017","17,3950","17,2900","17,4050","17,2850","0,25%"
"04.10.2017","17,3510","17,4050","17,4130","17,3480","-0,33%"
"03.10.2017","17,4085","17,3895","17,5075","17,3665","0,19%"
"02.10.2017","17,3750","17,2550","17,4300","17,2550","0,36%"
"29.09.2017","17,3130","17,5720","17,5720","17,3040","-1,22%"
"28.09.2017","17,5275","17,5125","17,5725","17,5125","-0,16%"
"27.09.2017","17,5550","17,6250","17,6350","17,4950","-0,06%"
"26.09.2017","17,5660","17,4880","17,6680","17,4880","0,39%"
"25.09.2017","17,4975","17,3275","17,4975","17,3275","1,17%"
"22.09.2017","17,2950","17,2650","17,3250","17,2650","0,16%"
"21.09.2017","17,2675","17,1755","17,3025","17,1725","0,44%"
"20.09.2017","17,1925","17,1105","17,1975","17,0825","0,51%"
"19.09.2017","17,1050","17,1050","17,2650","17,1050","0,04%"
"18.09.2017","17,0990","16,9920","17,1220","16,9670","0,73%"
"15.09.2017","16,9750","17,0250","17,0250","16,9550","-0,10%"
"14.09.2017","16,9915","17,0385","17,0535","16,9915","-0,43%"
"13.09.2017","17,0650","17,0510","17,0900","17,0050","0,00%"
"12.09.2017","17,0650","17,1320","17,1620","17,0650","-0,39%"
"11.09.2017","17,1325","17,2025","17,2625","17,1025","-0,62%"
"08.09.2017","17,2390","17,2470","17,2770","17,2370","0,26%"
"07.09.2017","17,1950","17,2550","17,2550","17,1920","-0,28%"
"06.09.2017","17,2425","17,2935","17,3035","17,2385","0,01%"
"05.09.2017","17,2410","17,2540","17,2900","17,2350","0,01%"
"04.09.2017","17,2400","17,2100","17,2950","17,1800","0,17%"
"01.09.2017","17,2100","17,2800","17,2800","17,2100","-0,73%"
"31.08.2017","17,3370","17,4070","17,4370","17,2870","-0,33%"
"30.08.2017","17,3950","17,3750","17,4800","17,2650","0,06%"
"29.08.2017","17,3850","17,2420","17,4120","17,2420","0,90%"
"28.08.2017","17,2300","17,2150","17,2550","17,2050","0,04%"
"25.08.2017","17,2235","17,2105","17,2805","17,1655","0,06%"
"24.08.2017","17,2125","17,2495","17,2595","17,1395","-0,10%"
"23.08.2017","17,2295","17,2065","17,2665","17,1865","0,13%"
"22.08.2017","17,2075","17,2165","17,2665","17,2015","-0,68%"
"21.08.2017","17,3250","17,3420","17,3420","17,3250","-0,09%"
"18.08.2017","17,3400","17,3480","17,3730","17,2380","-0,04%"
"17.08.2017","17,3475","17,1785","17,3685","17,1785","0,83%"
"16.08.2017","17,2040","17,0700","17,2400","17,0700","0,79%"
"15.08.2017","17,0700","17,1220","17,1400","17,0100","-0,33%"
"14.08.2017","17,1270","17,2650","17,3000","17,1150","-3,28%"
"11.08.2017","17,7075","17,6825","17,7365","17,6425","0,03%"
"10.08.2017","17,7025","17,6525","17,7445","17,6525","-0,01%"
"09.08.2017","17,7050","17,7560","17,8360","17,7030","-0,05%"
"08.08.2017","17,7130","17,6930","17,7400","17,6660","0,11%"
"07.08.2017","17,6930","17,6660","17,7520","17,6560","0,19%"
"04.08.2017","17,6595","17,6155","17,6965","17,6155","0,00%"
"03.08.2017","17,6595","17,5795","17,7155","17,5655","0,46%"
"02.08.2017","17,5795","17,5655","17,6065","17,5355","0,03%"
"01.08.2017","17,5735","17,6155","17,6205","17,5655","-0,41%"
"31.07.2017","17,6450","17,6750","17,7050","17,6150","-0,86%"
"28.07.2017","17,7987","17,6212","17,8012","17,6212","0,93%"
"27.07.2017","17,6350","17,4850","17,6350","17,4850","0,76%"
"26.07.2017","17,5025","17,4865","17,5465","17,4465","0,20%"
"25.07.2017","17,4680","17,4360","17,4860","17,3160","0,17%"
"24.07.2017","17,4390","17,4170","17,6620","17,4170","0,20%"
"21.07.2017","17,4050","17,1950","17,4450","17,1850","1,17%"
"20.07.2017","17,2035","17,1505","17,2405","17,0805","0,35%"
"19.07.2017","17,1440","17,2900","17,3900","17,1200","0,32%"
"18.07.2017","17,0890","16,9220","17,1010","16,9210","1,01%"
"17.07.2017","16,9175","16,8545","16,9345","16,8445","0,43%"
"14.07.2017","16,8450","16,9500","16,9500","16,8290","-0,62%"
"13.07.2017","16,9500","16,9475","17,0025","16,9225","-0,05%"
"12.07.2017","16,9590","17,0180","17,0350","16,9590","-0,23%"
"11.07.2017","16,9980","16,9650","17,0350","16,9150","0,06%"
"10.07.2017","16,9885","16,9875","17,0575","16,9175","0,14%"
"07.07.2017","16,9650","17,0190","17,0340","16,9190","-0,71%"
"06.07.2017","17,0870","17,1790","17,2690","17,0790","-0,31%"
"05.07.2017","17,1400","16,9290","17,1400","16,8990","1,48%"
"04.07.2017","16,8900","16,8100","16,8900","16,8100","0,24%"
"03.07.2017","16,8500","16,8050","16,8500","16,7800","1,37%"
"30.06.2017","16,6220","16,4960","16,6610","16,4860","0,80%"
"29.06.2017","16,4900","16,4010","16,5240","16,3940","0,48%"
"28.06.2017","16,4110","16,4190","16,4640","16,3540","0,13%"
"27.06.2017","16,3905","16,3055","16,4455","16,3055","0,52%"
"26.06.2017","16,3065","16,1925","16,3195","16,1875","0,79%"
"23.06.2017","16,1780","16,1430","16,1940","16,1040","0,19%"
"22.06.2017","16,1475","16,2285","16,2285","16,1415","-0,46%"
"21.06.2017","16,2225","16,1475","16,4775","16,1475","0,49%"
"20.06.2017","16,1435","16,1405","16,1705","16,1305","0,03%"
"19.06.2017","16,1385","16,0355","16,1755","16,0255","0,71%"
"16.06.2017","16,0250","15,9150","16,0520","15,9150","0,36%"
"15.06.2017","15,9680","15,8660","15,9910","15,8660","0,40%"
"14.06.2017","15,9040","15,8920","15,9360","15,8520","0,13%"
"13.06.2017","15,8840","15,9380","15,9380","15,8840","-0,21%"
"12.06.2017","15,9180","15,9240","15,9590","15,8920","0,02%"
"09.06.2017","15,9150","15,9050","15,9250","15,8725","-0,13%"
"08.06.2017","15,9355","16,0025","16,0275","15,9275","-0,35%"
"07.06.2017","15,9920","16,0255","16,0330","15,9920","-0,14%"
"06.06.2017","16,0150","15,9950","16,0160","15,9650","-0,09%"
"05.06.2017","16,0295","16,0555","16,1065","16,0295","-0,06%"
"02.06.2017","16,0385","16,0705","16,0795","16,0345","-0,08%"
"01.06.2017","16,0515","16,0925","16,1155","16,0055","-0,26%"
"31.05.2017","16,0940","16,1570","16,1870","16,0940","-0,47%"
"30.05.2017","16,1700","16,0400","16,1700","16,0300","1,19%"
"29.05.2017","15,9800","16,0300","16,0300","15,9800","-0,17%"
"26.05.2017","16,0080","16,0870","16,0870","16,0070","-0,46%"
"25.05.2017","16,0820","16,0950","16,0950","16,0820","-0,03%"
"24.05.2017","16,0875","16,1065","16,1445","16,0705","-0,02%"
"23.05.2017","16,0910","16,1900","16,1900","16,0150","-0,51%"
"22.05.2017","16,1740","16,0080","16,1915","15,9940","0,98%"
"19.05.2017","16,0170","15,8730","16,0230","15,8730","0,03%"
"18.05.2017","16,0120","15,6160","16,0720","15,6100","2,54%"
"17.05.2017","15,6150","15,5700","15,6350","15,5650","0,26%"
"16.05.2017","15,5750","15,5560","15,6460","15,5560","0,30%"
"15.05.2017","15,5288","15,4313","15,5312","15,4313","0,61%"
"12.05.2017","15,4350","15,4150","15,4450","15,3950","-0,06%"
"11.05.2017","15,4450","15,5050","15,5050","15,4250","-0,42%"
"10.05.2017","15,5100","15,5100","15,5700","15,5100","-0,04%"
"09.05.2017","15,5155","15,4745","15,6245","15,4745","0,26%"
"08.05.2017","15,4745","15,3795","15,4745","15,3645","0,78%"
"05.05.2017","15,3550","15,2750","15,3960","15,2750","0,07%"
"04.05.2017","15,3450","15,3010","15,4500","15,2850","0,43%"
"03.05.2017","15,2795","15,2935","15,3085","15,2335","-0,04%"
"02.05.2017","15,2850","15,3250","15,3960","15,2550","-0,65%"
